Annual and Average Government Infrastructure Investment (GII),2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21
Annual GII ,5,4.5,5.3,5.8,5.4,5.4,5.5,4.7,4.8,9.3,10.1,9.8,10.1,8.4
Average GII ,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,9.6,9.6,9.6,9.6
