"Commonwealth_Electoral_Division_Name","State","payment_type","amount"
"Moncrieff","Queensland","family_tax_benefit_a",10319
"Moreton","Queensland","family_tax_benefit_a",8894
"Oxley","Queensland","family_tax_benefit_a",14318
"Petrie","Queensland","family_tax_benefit_a",12316
"Rankin","Queensland","family_tax_benefit_a",18230
"Ryan","Queensland","family_tax_benefit_a",5100
"Wide Bay","Queensland","family_tax_benefit_a",12110
"Wright","Queensland","family_tax_benefit_a",11782
"Banks","New South Wales","family_tax_benefit_b",8739
"Barton","New South Wales","family_tax_benefit_b",7859
"Bennelong","New South Wales","family_tax_benefit_b",6261
"Berowra","New South Wales","family_tax_benefit_b",4407
"Blaxland","New South Wales","family_tax_benefit_b",16196
"Bradfield","New South Wales","family_tax_benefit_b",4010
"Calare","New South Wales","family_tax_benefit_b",9710
"Charlton","New South Wales","family_tax_benefit_b",8617
"Chifley","New South Wales","family_tax_benefit_b",16442
"Cook","New South Wales","family_tax_benefit_b",5304
"Cowper","New South Wales","family_tax_benefit_b",10846
"Cunningham","New South Wales","family_tax_benefit_b",7362
"Dobell","New South Wales","family_tax_benefit_b",10345
"Eden-Monaro","New South Wales","family_tax_benefit_b",7671
"Farrer","New South Wales","family_tax_benefit_b",8786
"Fowler","New South Wales","family_tax_benefit_b",15416
"Gilmore","New South Wales","family_tax_benefit_b",8918
"Grayndler","New South Wales","family_tax_benefit_b",5667
"Greenway","New South Wales","family_tax_benefit_b",10798
"Hughes","New South Wales","family_tax_benefit_b",7597
"Hume","New South Wales","family_tax_benefit_b",8492
"Hunter","New South Wales","family_tax_benefit_b",10272
"Kingsford Smith","New South Wales","family_tax_benefit_b",5771
"Lindsay","New South Wales","family_tax_benefit_b",11485
"Lyne","New South Wales","family_tax_benefit_b",9091
"Macarthur","New South Wales","family_tax_benefit_b",10669
"Mackellar","New South Wales","family_tax_benefit_b",4714
"Macquarie","New South Wales","family_tax_benefit_b",8341
"McMahon","New South Wales","family_tax_benefit_b",11571
"Mitchell","New South Wales","family_tax_benefit_b",5825
"New England","New South Wales","family_tax_benefit_b",10366
"Newcastle","New South Wales","family_tax_benefit_b",7010
"North Sydney","New South Wales","family_tax_benefit_b",3302
"Page","New South Wales","family_tax_benefit_b",10201
"Parkes","New South Wales","family_tax_benefit_b",11257
"Parramatta","New South Wales","family_tax_benefit_b",12460
"Paterson","New South Wales","family_tax_benefit_b",8786
"Reid","New South Wales","family_tax_benefit_b",9027
"Richmond","New South Wales","family_tax_benefit_b",10045
"Riverina","New South Wales","family_tax_benefit_b",9248
"Robertson","New South Wales","family_tax_benefit_b",8472
"Shortland","New South Wales","family_tax_benefit_b",8108
"Sydney","New South Wales","family_tax_benefit_b",3647
"Throsby","New South Wales","family_tax_benefit_b",9418
"Warringah","New South Wales","family_tax_benefit_b",3636
"Watson","New South Wales","family_tax_benefit_b",13708
"Wentworth","New South Wales","family_tax_benefit_b",2834
"Werriwa","New South Wales","family_tax_benefit_b",13408
"Aston","Victoria","family_tax_benefit_b",7752
"Ballarat","Victoria","family_tax_benefit_b",10008
"Batman","Victoria","family_tax_benefit_b",7199
"Bendigo","Victoria","family_tax_benefit_b",9716
"Bruce","Victoria","family_tax_benefit_b",9257
"Calwell","Victoria","family_tax_benefit_b",13278
"Casey","Victoria","family_tax_benefit_b",9035
"Chisholm","Victoria","family_tax_benefit_b",6200
"Corangamite","Victoria","family_tax_benefit_b",7936
"Corio","Victoria","family_tax_benefit_b",9694
"Deakin","Victoria","family_tax_benefit_b",7302
"Dunkley","Victoria","family_tax_benefit_b",9364
"Flinders","Victoria","family_tax_benefit_b",9187
"Gellibrand","Victoria","family_tax_benefit_b",8757
"Gippsland","Victoria","family_tax_benefit_b",9485
"Goldstein","Victoria","family_tax_benefit_b",3701
"Gorton","Victoria","family_tax_benefit_b",15555
"Higgins","Victoria","family_tax_benefit_b",3023
"Holt","Victoria","family_tax_benefit_b",15982
"Hotham","Victoria","family_tax_benefit_b",8104
"Indi","Victoria","family_tax_benefit_b",8673
"Isaacs","Victoria","family_tax_benefit_b",9395
"Jagajaga","Victoria","family_tax_benefit_b",6023
"Kooyong","Victoria","family_tax_benefit_b",2897
"La Trobe","Victoria","family_tax_benefit_b",9318
"Lalor","Victoria","family_tax_benefit_b",17340
"Mallee","Victoria","family_tax_benefit_b",9332
"Maribyrnong","Victoria","family_tax_benefit_b",8903
"McEwen","Victoria","family_tax_benefit_b",13856
"McMillan","Victoria","family_tax_benefit_b",11600
"Melbourne","Victoria","family_tax_benefit_b",5124
"Melbourne Ports","Victoria","family_tax_benefit_b",3366
"Menzies","Victoria","family_tax_benefit_b",5263
"Murray","Victoria","family_tax_benefit_b",9906
"Scullin","Victoria","family_tax_benefit_b",10687
"Wannon","Victoria","family_tax_benefit_b",8301
"Wills","Victoria","family_tax_benefit_b",7666
"Blair","Queensland","family_tax_benefit_b",12691
"Bonner","Queensland","family_tax_benefit_b",7112
"Bowman","Queensland","family_tax_benefit_b",7953
"Brisbane","Queensland","family_tax_benefit_b",3331
"Capricornia","Queensland","family_tax_benefit_b",8562
"Dawson","Queensland","family_tax_benefit_b",8556
"Dickson","Queensland","family_tax_benefit_b",8482
"Fadden","Queensland","family_tax_benefit_b",11030
"Fairfax","Queensland","family_tax_benefit_b",9041
"Fisher","Queensland","family_tax_benefit_b",8459
"Flynn","Queensland","family_tax_benefit_b",9480
"Forde","Queensland","family_tax_benefit_b",12724
"Griffith","Queensland","family_tax_benefit_b",4885
"Groom","Queensland","family_tax_benefit_b",9530
"Herbert","Queensland","family_tax_benefit_b",11018
"Hinkler","Queensland","family_tax_benefit_b",10308
"Kennedy","Queensland","family_tax_benefit_b",11544
"Leichhardt","Queensland","family_tax_benefit_b",13813
"Lilley","Queensland","family_tax_benefit_b",7224
"Longman","Queensland","family_tax_benefit_b",12366
"Maranoa","Queensland","family_tax_benefit_b",10276
"McPherson","Queensland","family_tax_benefit_b",9522
"Moncrieff","Queensland","family_tax_benefit_b",8674
"Moreton","Queensland","family_tax_benefit_b",7659
"Oxley","Queensland","family_tax_benefit_b",12429
"Petrie","Queensland","family_tax_benefit_b",10732
"Rankin","Queensland","family_tax_benefit_b",15457
"Ryan","Queensland","family_tax_benefit_b",4669
"Wide Bay","Queensland","family_tax_benefit_b",10224
"Wright","Queensland","family_tax_benefit_b",9753
"Banks","New South Wales","health_care_card",8881
"Barton","New South Wales","health_care_card",7873
"Bennelong","New South Wales","health_care_card",6525
"Berowra","New South Wales","health_care_card",4100
"Blaxland","New South Wales","health_care_card",17246
"Bradfield","New South Wales","health_care_card",3988
"Calare","New South Wales","health_care_card",9723
"Charlton","New South Wales","health_care_card",8415
"Chifley","New South Wales","health_care_card",15037
"Cook","New South Wales","health_care_card",4771
"Cowper","New South Wales","health_care_card",11605
"Cunningham","New South Wales","health_care_card",8942
"Dobell","New South Wales","health_care_card",9902
"Eden-Monaro","New South Wales","health_care_card",7473
"Farrer","New South Wales","health_care_card",9433
"Fowler","New South Wales","health_care_card",15514
"Gilmore","New South Wales","health_care_card",8958
"Grayndler","New South Wales","health_care_card",7807
"Greenway","New South Wales","health_care_card",9083
"Hughes","New South Wales","health_care_card",6695
"Hume","New South Wales","health_care_card",7660
"Hunter","New South Wales","health_care_card",9077
"Kingsford Smith","New South Wales","health_care_card",6746
"Lindsay","New South Wales","health_care_card",10036
"Lyne","New South Wales","health_care_card",10317
"Macarthur","New South Wales","health_care_card",9330
"Mackellar","New South Wales","health_care_card",3936
"Macquarie","New South Wales","health_care_card",7549
"McMahon","New South Wales","health_care_card",11588
"Mitchell","New South Wales","health_care_card",4777
"New England","New South Wales","health_care_card",11619
"Newcastle","New South Wales","health_care_card",9811
