"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"b1b2[2,57] Assoc SPHS",942.900131888133,954.964,761.134010567115,10975.5,0.95,-5599.15,7402.4,NA,NA,NA,NA,NA,NA,NA
"b1b2[3,57] Full SPHS",-361.2238858034,-372.3535,-502.270257561508,15000,0.95,-7841.27,7012.41,NA,NA,NA,NA,NA,NA,NA
"b1b2[4,57] Endow SPHS",-70.5073570531867,-17.93925,232.417313827573,11545.8,0.95,-9411.26,9606.65,NA,NA,NA,NA,NA,NA,NA
"b1b2[5,57] Disting SPHS",1220.84132660366,1133.34,486.67417435443,10677.8,0.95,-8271.49,11015.1,NA,NA,NA,NA,NA,NA,NA
"b1b2[1,58] Assis STAT",-1453.27935391067,-1254.89,-710.150987570676,4864.9,0.95,-10044.1,6994.8,NA,NA,NA,NA,NA,NA,NA
"b1b2[2,58] Assoc STAT",-2664.5028959302,-2707.05,-2852.3507784923,8651.5,0.95,-11477.6,6679.69,NA,NA,NA,NA,NA,NA,NA
"b1b2[3,58] Full STAT",27.2614921301333,46.49195,-66.146721264111,13168.2,0.95,-9287.77,9864.13,NA,NA,NA,NA,NA,NA,NA
"b1b2[4,58] Endow STAT",2447.51103698993,2285.235,1920.23685489515,7832.5,0.95,-7196.41,12871.5,NA,NA,NA,NA,NA,NA,NA
"b1b2[5,58] Disting STAT",1643.0098867808,1652.895,2129.0102100937,10990.2,0.95,-6923.8,10804.1,NA,NA,NA,NA,NA,NA,NA
"b1b2[1,59] Assis TELC",-1316.9256864574,-1284.155,-1064.27240035522,6507.7,0.95,-8035.48,5649.04,NA,NA,NA,NA,NA,NA,NA
"b1b2[2,59] Assoc TELC",-2034.77429248797,-2048.665,-1821.46790686555,11331.4,0.95,-9750.58,5603.79,NA,NA,NA,NA,NA,NA,NA
"b1b2[3,59] Full TELC",999.3108326372,1012.505,986.402529451636,15000,0.95,-6782.46,9074.76,NA,NA,NA,NA,NA,NA,NA
"b1b2[4,59] Endow TELC",44.137591129,61.0879,-62.0259469904049,12749.6,0.95,-9121.53,9950.27,NA,NA,NA,NA,NA,NA,NA
"b1b2[5,59] Disting TELC",2308.25148483133,2254.23,2193.65025890677,8597.3,0.95,-6698.32,11953.5,NA,NA,NA,NA,NA,NA,NA
"b1b2[1,60] Assis THTR",1950.26600487538,1984.73,2184.01273022555,2431.1,0.95,-4434.04,8341.99,NA,NA,NA,NA,NA,NA,NA
"b1b2[2,60] Assoc THTR",-2446.29463818425,-2407.665,-2316.23106105176,2267.7,0.95,-9042.47,3932.99,NA,NA,NA,NA,NA,NA,NA
"b1b2[3,60] Full THTR",133.240295190047,141.72,200.037011532862,7958.9,0.95,-9667.97,9687.93,NA,NA,NA,NA,NA,NA,NA
"b1b2[4,60] Endow THTR",235.9189434736,216.0245,-419.75753159701,7728.7,0.95,-9412.49,9717.95,NA,NA,NA,NA,NA,NA,NA
"b1b2[5,60] Disting THTR",126.869278203333,110.154,-951.362341183747,7832.1,0.95,-9325.79,9975.01,NA,NA,NA,NA,NA,NA,NA
"m[1,1] Assis ACTG",182630.168733333,182667,182676.912954606,12843.7,0.95,178621,186338,NA,NA,NA,NA,NA,NA,NA
"m[2,1] Assoc ACTG",194825.4206,196282,198582.145759566,5025.4,0.95,182444,203189,NA,NA,NA,NA,NA,NA,NA
"m[3,1] Full ACTG",214204.710733333,214330,213741.279590179,3888.1,0.95,200663,228059,NA,NA,NA,NA,NA,NA,NA
"m[4,1] Endow ACTG",238425.977066667,238072.5,238327.289297571,4334.6,0.95,225619,252341,NA,NA,NA,NA,NA,NA,NA
"m[5,1] Disting ACTG",269295.944333333,269534.5,269359.257654655,2809.6,0.95,248282,289329,NA,NA,NA,NA,NA,NA,NA
"m[1,2] Assis AFRO",67982.30964,68000.55,67977.7537344166,11988,0.95,51253.7,84568.5,NA,NA,NA,NA,NA,NA,NA
"m[2,2] Assoc AFRO",79832.76204,79822.7,80432.4102656575,13661.3,0.95,68602.9,91756.7,NA,NA,NA,NA,NA,NA,NA
