"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"m[4,24] Endow FOLK",125655.06648,125300,125028.927473911,9800.3,0.95,114798,136860,NA,NA,NA,NA,NA,NA,NA
"m[5,24] Disting FOLK",153041.333,153301.5,154526.437843139,3460.1,0.95,132711,172210,NA,NA,NA,NA,NA,NA,NA
"m[1,25] Assis FRIT",66530.89034,67233.7,68271.7553795748,7034.9,0.95,55911.9,75558.5,NA,NA,NA,NA,NA,NA,NA
"m[2,25] Assoc FRIT",69038.0921666667,68369.85,67549.1096225405,9295.1,0.95,60800.2,79694.5,NA,NA,NA,NA,NA,NA,NA
"m[3,25] Full FRIT",105067.750113333,105054.5,106066.334043594,9636,0.95,90884.4,118292,NA,NA,NA,NA,NA,NA,NA
"m[4,25] Endow FRIT",127887.170573333,127846.5,128740.284602025,8345.9,0.95,111233,143625,NA,NA,NA,NA,NA,NA,NA
"m[5,25] Disting FRIT",154792.571466667,154944.5,155501.179958054,4527.3,0.95,134000,175371,NA,NA,NA,NA,NA,NA,NA
"m[1,26] Assis GEOG",70583.5566,70465.15,69910.3229834419,13970.1,0.95,64066.6,77710.7,NA,NA,NA,NA,NA,NA,NA
"m[2,26] Assoc GEOG",82104.13872,81113.15,78713.4879472699,9317.2,0.95,71601.8,94708.4,NA,NA,NA,NA,NA,NA,NA
"m[3,26] Full GEOG",113978.052706667,114084.5,113900.730371538,9079.6,0.95,101390,125868,NA,NA,NA,NA,NA,NA,NA
"m[4,26] Endow GEOG",136432.2646,136342,136439.879596751,7724.2,0.95,120655,152359,NA,NA,NA,NA,NA,NA,NA
"m[5,26] Disting GEOG",163312.090133333,163559,164294.598626266,3794.8,0.95,142551,183094,NA,NA,NA,NA,NA,NA,NA
"m[1,27] Assis GEOL",70778.9540866667,70826.95,70960.4139220025,9885,0.95,67340.2,74202.7,NA,NA,NA,NA,NA,NA,NA
"m[2,27] Assoc GEOL",78651.7514533333,78263,77944.4391067668,9659.9,0.95,73558.7,85079.5,NA,NA,NA,NA,NA,NA,NA
"m[3,27] Full GEOL",112775.274993333,112793,113248.765220468,5240.7,0.95,102079,122726,NA,NA,NA,NA,NA,NA,NA
"m[4,27] Endow GEOL",132524.486646667,132617,133229.789784863,4427.3,0.95,117471,147583,NA,NA,NA,NA,NA,NA,NA
"m[5,27] Disting GEOL",161308.6188,161470,161475.312756376,3147.6,0.95,140781,179615,NA,NA,NA,NA,NA,NA,NA
"m[1,28] Assis GERM",57357.5358933333,57359.3,56573.8314417311,9376.1,0.95,41856.9,74453.4,NA,NA,NA,NA,NA,NA,NA
"m[2,28] Assoc GERM",69364.0049266667,68854.3,68394.8680857192,11238.1,0.95,56019.1,82186.8,NA,NA,NA,NA,NA,NA,NA
"m[3,28] Full GERM",99077.16134,99215.9,99477.8705236898,13423.2,0.95,88957.4,108072,NA,NA,NA,NA,NA,NA,NA
"m[4,28] Endow GERM",120292.438666667,120395,120566.756032643,8899.8,0.95,102182,137776,NA,NA,NA,NA,NA,NA,NA
"m[5,28] Disting GERM",149227.350273333,149456,150805.812253336,3660.7,0.95,127487,170126,NA,NA,NA,NA,NA,NA,NA
"m[1,29] Assis HIST",67096.3685,67039.8,66895.0991662608,15000,0.95,64345.7,69939.4,NA,NA,NA,NA,NA,NA,NA
"m[2,29] Assoc HIST",80728.4703133333,80630.5,80050.913332675,8730.6,0.95,74233.1,87960.3,NA,NA,NA,NA,NA,NA,NA
"m[3,29] Full HIST",110135.999366667,110130.5,110302.167652072,9254,0.95,101505,118708,NA,NA,NA,NA,NA,NA,NA
"m[4,29] Endow HIST",137097.361733333,137341,138304.844172506,6956.8,0.95,125653,147338,NA,NA,NA,NA,NA,NA,NA
"m[5,29] Disting HIST",161330.3926,161613.5,162826.51568633,3858.6,0.95,142255,180261,NA,NA,NA,NA,NA,NA,NA
"m[1,30] Assis INFO",92639.9836533333,92770.9,93309.0324529904,12427.6,0.95,82842.9,101923,NA,NA,NA,NA,NA,NA,NA
"m[2,30] Assoc INFO",102185.730866667,102109.5,102660.612096862,12431.4,0.95,94782.1,109617,NA,NA,NA,NA,NA,NA,NA
"m[3,30] Full INFO",136122.095466667,136361,136625.068950657,9295.4,0.95,126047,146572,NA,NA,NA,NA,NA,NA,NA
"m[4,30] Endow INFO",155967.4418,155167,154142.396215279,10729.4,0.95,145180,167531,NA,NA,NA,NA,NA,NA,NA
"m[5,30] Disting INFO",184141.807533333,184365,185928.76378678,3587.4,0.95,164122,202831,NA,NA,NA,NA,NA,NA,NA
"m[1,31] Assis JOUR",69776.66626,69867.2,69960.5316201879,13397.6,0.95,66486.7,72631.5,NA,NA,NA,NA,NA,NA,NA
"m[2,31] Assoc JOUR",83209.9374,83359.7,83943.20681634,8427,0.95,76216.6,90552.7,NA,NA,NA,NA,NA,NA,NA
"m[3,31] Full JOUR",102481.41432,102186.5,101284.943653356,4549.2,0.95,93656.3,112424,NA,NA,NA,NA,NA,NA,NA
"m[4,31] Endow JOUR",132682.773266667,132618.5,132061.883512845,4905.7,0.95,117683,146722,NA,NA,NA,NA,NA,NA,NA
"m[5,31] Disting JOUR",159583.233533333,159853.5,159229.711874096,3125.1,0.95,139845,178234,NA,NA,NA,NA,NA,NA,NA
"m[1,32] Assis KINE",71171.1277133333,70905.55,70698.9215997474,14009.4,0.95,64613.2,78324.5,NA,NA,NA,NA,NA,NA,NA
"m[2,32] Assoc KINE",85887.8886,86008.05,86129.6920720634,13889.8,0.95,78294,93009.1,NA,NA,NA,NA,NA,NA,NA
"m[3,32] Full KINE",115723.030766667,115696.5,115540.120895788,11844.2,0.95,106827,124621,NA,NA,NA,NA,NA,NA,NA
"m[4,32] Endow KINE",138467.4854,138406.5,138595.447207205,7874.8,0.95,123741,153174,NA,NA,NA,NA,NA,NA,NA
"m[5,32] Disting KINE",165310.431066667,165487,165143.450197566,4012.7,0.95,145139,183848,NA,NA,NA,NA,NA,NA,NA
"m[1,33] Assis LAWS",128784.617593333,128917,129212.153453655,611.3,0.95,114997,143115,NA,NA,NA,NA,NA,NA,NA
"m[2,33] Assoc LAWS",148779.920133333,148786,148777.83094002,15729.7,0.95,147766,149717,NA,NA,NA,NA,NA,NA,NA
"m[3,33] Full LAWS",164652.812333333,164556,164404.359445161,948.9,0.95,155429,173442,NA,NA,NA,NA,NA,NA,NA
"m[4,33] Endow LAWS",194783.5742,194792,195238.829196687,1486.1,0.95,184176,204948,NA,NA,NA,NA,NA,NA,NA
"m[5,33] Disting LAWS",218200.038866667,218679,218883.094318463,710.9,0.95,195636,238701,NA,NA,NA,NA,NA,NA,NA
"m[1,34] Assis LGED",63273.27844,63389.95,63482.3334172981,8690.6,0.95,60000.5,66605.9,NA,NA,NA,NA,NA,NA,NA
"m[2,34] Assoc LGED",74429.83996,74431.1,74519.7909434261,12305.1,0.95,71445.9,77739.9,NA,NA,NA,NA,NA,NA,NA
"m[3,34] Full LGED",98552.7298266667,98253.45,99080.1968518847,2537.5,0.95,87391.6,111705,NA,NA,NA,NA,NA,NA,NA
"m[4,34] Endow LGED",126235.624826667,126209,126456.045478363,2595.9,0.95,111373,140506,NA,NA,NA,NA,NA,NA,NA
"m[5,34] Disting LGED",153176.655733333,153376.5,153993.54852081,1810,0.95,132724,171723,NA,NA,NA,NA,NA,NA,NA
"m[1,35] Assis LING",69044.13502,69597.55,70265.9608885511,11982.1,0.95,56594,80214.7,NA,NA,NA,NA,NA,NA,NA
"m[2,35] Assoc LING",80686.03338,80670.65,80358.3095723106,14948.1,0.95,71914.8,91016,NA,NA,NA,NA,NA,NA,NA
"m[3,35] Full LING",107586.108266667,107527.5,107923.642765515,11012.1,0.95,94054.5,120432,NA,NA,NA,NA,NA,NA,NA
"m[4,35] Endow LING",133394.620093333,133296,132362.998724977,9339.5,0.95,116710,149212,NA,NA,NA,NA,NA,NA,NA
"m[5,35] Disting LING",160334.655533333,160629,161667.698226469,4079.1,0.95,139224,180368,NA,NA,NA,NA,NA,NA,NA
"m[1,36] Assis MATH",81344.6617866667,81677.7,81920.8109319841,4988.1,0.95,76986.1,85150.2,NA,NA,NA,NA,NA,NA,NA
"m[2,36] Assoc MATH",86135.4899933333,86069.5,85858.399979042,9642.7,0.95,78293.3,94168.3,NA,NA,NA,NA,NA,NA,NA
"m[3,36] Full MATH",105990.036273333,105908,105309.628066009,5800.9,0.95,99831,112120,NA,NA,NA,NA,NA,NA,NA
"m[4,36] Endow MATH",139589.999266667,139525.5,139452.555396817,5900.2,0.95,124683,153791,NA,NA,NA,NA,NA,NA,NA
"m[5,36] Disting MATH",162550.351266667,162518,162519.646782075,2447.7,0.95,144567,181597,NA,NA,NA,NA,NA,NA,NA
"m[1,37] Assis MGMT",139332.6496,138792,138517.114497216,4435.3,0.95,132661,147702,NA,NA,NA,NA,NA,NA,NA
"m[2,37] Assoc MGMT",164141.7834,165000,165314.88829164,4301.2,0.95,156271,168762,NA,NA,NA,NA,NA,NA,NA
"m[3,37] Full MGMT",186072.245866667,186080,185701.486018099,4442.7,0.95,172130,200246,NA,NA,NA,NA,NA,NA,NA
"m[4,37] Endow MGMT",213786.7682,213908,213813.287463506,4218.6,0.95,200013,226861,NA,NA,NA,NA,NA,NA,NA
"m[5,37] Disting MGMT",237803.5094,238129,240956.192507187,3283.2,0.95,217394,257422,NA,NA,NA,NA,NA,NA,NA
"m[1,38] Assis MKTG",151214.886133333,150986,150863.598687374,6205.6,0.95,147975,154637,NA,NA,NA,NA,NA,NA,NA
"m[2,38] Assoc MKTG",170457.488266667,170690,170294.912116012,2892.8,0.95,160888,179943,NA,NA,NA,NA,NA,NA,NA
"m[3,38] Full MKTG",192094.439066667,192179,192192.658646879,2300.7,0.95,176592,206090,NA,NA,NA,NA,NA,NA,NA
"m[4,38] Endow MKTG",221329.447133333,221422,221121.494594677,2446.9,0.95,208474,234555,NA,NA,NA,NA,NA,NA,NA
"m[5,38] Disting MKTG",245585.651,245864,246142.849569215,2598,0.95,225998,265206,NA,NA,NA,NA,NA,NA,NA
"m[1,39] Assis MUHI",55062.0708266667,54748.15,54528.7000919651,10890.6,0.95,44634.2,66535,NA,NA,NA,NA,NA,NA,NA
"m[2,39] Assoc MUHI",67445.63676,67424.3,67437.3317391649,13981.9,0.95,59659.9,75158.3,NA,NA,NA,NA,NA,NA,NA
"m[3,39] Full MUHI",97140.8284133333,97278.7,97508.1546812752,11813.4,0.95,86523.9,107597,NA,NA,NA,NA,NA,NA,NA
"m[4,39] Endow MUHI",120127.766473333,120072.5,120274.283075832,8701.2,0.95,104748,135552,NA,NA,NA,NA,NA,NA,NA
"m[5,39] Disting MUHI",144930.983933333,145471.5,146270.203121028,2625.3,0.95,122536,165347,NA,NA,NA,NA,NA,NA,NA
"m[1,40] Assis MUIN",60528.5630466667,59696.8,57747.0061824165,10154.6,0.95,50969.6,72889.8,NA,NA,NA,NA,NA,NA,NA
"m[2,40] Assoc MUIN",78929.6976,79081.3,79302.5340936791,8034.3,0.95,68261.6,88897.8,NA,NA,NA,NA,NA,NA,NA
"m[3,40] Full MUIN",99748.86696,99783.95,99985.9465883144,15000,0.95,94668.3,104884,NA,NA,NA,NA,NA,NA,NA
"m[4,40] Endow MUIN",126837.937666667,126883.5,126624.617349499,9333.5,0.95,114923,138662,NA,NA,NA,NA,NA,NA,NA
"m[5,40] Disting MUIN",153601.957266667,153743,154403.866365955,4148.4,0.95,135696,171079,NA,NA,NA,NA,NA,NA,NA
"m[1,41] Assis MUST",83265.8230933333,83406.7,84214.5586022391,9969.5,0.95,65043.6,100751,NA,NA,NA,NA,NA,NA,NA
"m[2,41] Assoc MUST",93295.96272,93551.6,93790.6789064582,7373.3,0.95,73145.5,110892,NA,NA,NA,NA,NA,NA,NA
"m[3,41] Full MUST",125441.23948,125563,125722.531309085,13049.3,0.95,113338,137354,NA,NA,NA,NA,NA,NA,NA
"m[4,41] Endow MUST",148358.9056,148170,147124.498945655,12263.7,0.95,134399,162689,NA,NA,NA,NA,NA,NA,NA
"m[5,41] Disting MUST",175084.457266667,175268,174869.747320096,3851.3,0.95,151645,197520,NA,NA,NA,NA,NA,NA,NA
"m[1,42] Assis MUTH",54803.0870933333,55364.2,55983.6085827967,11867.3,0.95,43355.2,65175.1,NA,NA,NA,NA,NA,NA,NA
"m[2,42] Assoc MUTH",64962.4230733333,64739.6,64568.5346466354,14147.7,0.95,58332.3,72694.8,NA,NA,NA,NA,NA,NA,NA
"m[3,42] Full MUTH",93982.1597,94015.75,94555.9816645289,12249.6,0.95,83798.9,103624,NA,NA,NA,NA,NA,NA,NA
"m[4,42] Endow MUTH",118922.07276,118934.5,117041.174907141,8599.6,0.95,103207,133837,NA,NA,NA,NA,NA,NA,NA
"m[5,42] Disting MUTH",145833.145266667,146168,147177.002280707,4113.5,0.95,125316,164788,NA,NA,NA,NA,NA,NA,NA
"m[1,43] Assis MUVO",59393.5715066667,59573.55,59818.2185118431,9575.1,0.95,42429.7,76218,NA,NA,NA,NA,NA,NA,NA
"m[2,43] Assoc MUVO",73361.9788866667,73866.15,74183.1597558197,12830.1,0.95,60790.3,83522.1,NA,NA,NA,NA,NA,NA,NA
"m[3,43] Full MUVO",99193.78928,99167.75,99287.7981222617,13304.4,0.95,87874.8,111027,NA,NA,NA,NA,NA,NA,NA
"m[4,43] Endow MUVO",124365.396546667,124481.5,124716.529401896,9738.6,0.95,106712,142321,NA,NA,NA,NA,NA,NA,NA
"m[5,43] Disting MUVO",149259.306,149740,150406.4291555,3514,0.95,125117,171475,NA,NA,NA,NA,NA,NA,NA
"m[1,44] Assis OADT",147913.984333333,148102,148209.846923053,13310.4,0.95,142396,152757,NA,NA,NA,NA,NA,NA,NA
"m[2,44] Assoc OADT",163698.5292,164426.5,165357.533116821,8777.3,0.95,154628,171234,NA,NA,NA,NA,NA,NA,NA
"m[3,44] Full OADT",183587.5528,183632.5,184168.053955707,5374.2,0.95,168987,197537,NA,NA,NA,NA,NA,NA,NA
"m[4,44] Endow OADT",212237.341466667,212281,212643.229824713,7393.1,0.95,197645,226438,NA,NA,NA,NA,NA,NA,NA
"m[5,44] Disting OADT",238945.583,239170,238349.725562363,3136.9,0.95,218969,258755,NA,NA,NA,NA,NA,NA,NA
"m[1,45] Assis OPT",75678.75096,76334.4,76477.9570957491,2710.2,0.95,69622.5,78942.5,NA,NA,NA,NA,NA,NA,NA
"m[2,45] Assoc OPT",80617.0032933333,80529.95,80322.702839781,8425.7,0.95,74717.3,86618,NA,NA,NA,NA,NA,NA,NA
"m[3,45] Full OPT",102097.430666667,101524,100430.401403158,4299.4,0.95,95310.6,110434,NA,NA,NA,NA,NA,NA,NA
"m[4,45] Endow OPT",133708.63462,133646,133403.519775367,3701.4,0.95,118910,147627,NA,NA,NA,NA,NA,NA,NA
"m[5,45] Disting OPT",160737.371133333,161064,162835.319121486,2288.2,0.95,141554,180201,NA,NA,NA,NA,NA,NA,NA
"m[1,46] Assis PHYS",78097.6617533333,78052.05,77998.02165671,15362.3,0.95,76486.6,79869.7,NA,NA,NA,NA,NA,NA,NA
"m[2,46] Assoc PHYS",94761.89232,94819.15,94617.45040475,9399.4,0.95,90645.8,99216.1,NA,NA,NA,NA,NA,NA,NA
"m[3,46] Full PHYS",125178.8826,125152.5,124298.899757558,3525.4,0.95,115424,135731,NA,NA,NA,NA,NA,NA,NA
"m[4,46] Endow PHYS",145738.544333333,145664,145245.303836964,2689,0.95,131632,160466,NA,NA,NA,NA,NA,NA,NA
"m[5,46] Disting PHYS",169576.646466667,169644,170609.735514875,2256.7,0.95,150315,188872,NA,NA,NA,NA,NA,NA,NA
"m[1,47] Assis PL",67719.3056,67534.45,67364.2436025802,14014.3,0.95,56730.9,79435.8,NA,NA,NA,NA,NA,NA,NA
"m[2,47] Assoc PL",78263.7237333333,77465.4,76681.895423531,12933,0.95,68619.6,89921.8,NA,NA,NA,NA,NA,NA,NA
"m[3,47] Full PL",110823.67196,110881.5,110918.533094955,12189.6,0.95,98857.2,123955,NA,NA,NA,NA,NA,NA,NA
"m[4,47] Endow PL",133600.3642,133355,133104.780498367,10043.4,0.95,119099,148700,NA,NA,NA,NA,NA,NA,NA
"m[5,47] Disting PL",160126.202066667,160303,161110.791905703,4114.3,0.95,139810,180652,NA,NA,NA,NA,NA,NA,NA
"m[1,48] Assis POLS",81229.76684,80742.95,80463.4424866313,9388.9,0.95,74384,89350.8,NA,NA,NA,NA,NA,NA,NA
"m[2,48] Assoc POLS",88622.5704666667,88288.85,87940.6214887158,9217.1,0.95,81270.1,96488.1,NA,NA,NA,NA,NA,NA,NA
"m[3,48] Full POLS",125971.497533333,125875.5,126825.204683428,4218.4,0.95,114767,138021,NA,NA,NA,NA,NA,NA,NA
"m[4,48] Endow POLS",151014.407333333,150403,149457.783269894,3039.7,0.95,134643,169111,NA,NA,NA,NA,NA,NA,NA
"m[5,48] Disting POLS",177272.289266667,177441.5,176995.121151796,3896.4,0.95,158221,197083,NA,NA,NA,NA,NA,NA,NA
"m[1,49] Assis PSY",81586.8900533333,81649.7,81667.0334663189,14149.3,0.95,77080.4,86104.6,NA,NA,NA,NA,NA,NA,NA
"m[2,49] Assoc PSY",85004.7467133333,84729.85,84604.152606368,8793.1,0.95,78313.8,92731.1,NA,NA,NA,NA,NA,NA,NA
"m[3,49] Full PSY",115108.04338,115125,116481.665746481,9623.6,0.95,104434,125004,NA,NA,NA,NA,NA,NA,NA
"m[4,49] Endow PSY",146702.282866667,146585.5,145133.234528129,3566.8,0.95,131990,161534,NA,NA,NA,NA,NA,NA,NA
"m[5,49] Disting PSY",172032.599466667,172378,174386.502888375,4014.2,0.95,154260,190136,NA,NA,NA,NA,NA,NA,NA
"m[1,50] Assis REL",62221.7772066667,62179.4,62121.1738268955,15150.5,0.95,60684.5,63897.6,NA,NA,NA,NA,NA,NA,NA
"m[2,50] Assoc REL",75205.0640933333,75103.7,74818.3864500567,8058.4,0.95,71880.3,78911.2,NA,NA,NA,NA,NA,NA,NA
"m[3,50] Full REL",105615.75956,105503.5,105876.234292363,1575.2,0.95,92872.7,118600,NA,NA,NA,NA,NA,NA,NA
"m[4,50] Endow REL",128617.469586667,128480,128462.147289425,1659.5,0.95,113702,143130,NA,NA,NA,NA,NA,NA,NA
"m[5,50] Disting REL",155562.820666667,155775,155190.215802679,1817.1,0.95,136287,174944,NA,NA,NA,NA,NA,NA,NA
"m[1,51] Assis RPAD",73647.1730666667,72885.05,71677.4614988526,7296.1,0.95,65553.6,83300.8,NA,NA,NA,NA,NA,NA,NA
"m[2,51] Assoc RPAD",91889.3394733333,92038.4,91893.9842235841,12239,0.95,84977.4,98521.5,NA,NA,NA,NA,NA,NA,NA
"m[3,51] Full RPAD",121908.1652,122992,123622.434346194,7333.4,0.95,112176,128466,NA,NA,NA,NA,NA,NA,NA
"m[4,51] Endow RPAD",143338.198866667,143336,143660.522833209,7097.5,0.95,129009,158616,NA,NA,NA,NA,NA,NA,NA
"m[5,51] Disting RPAD",170239.951,170563.5,171343.304968382,3540,0.95,150606,189257,NA,NA,NA,NA,NA,NA,NA
"m[1,52] Assis SLIS",88107.06064,88331.7,88658.0727784025,10169.5,0.95,79877.3,95651.7,NA,NA,NA,NA,NA,NA,NA
"m[2,52] Assoc SLIS",98780.5428866667,98791.4,98821.8949514943,15000,0.95,94235.1,103565,NA,NA,NA,NA,NA,NA,NA
"m[3,52] Full SLIS",124552.271666667,123688,120561.883100484,8087.1,0.95,114869,136734,NA,NA,NA,NA,NA,NA,NA
"m[4,52] Endow SLIS",153032.1644,152989.5,153046.339166061,7417,0.95,140017,167173,NA,NA,NA,NA,NA,NA,NA
"m[5,52] Disting SLIS",178581.688533333,178783,179736.715604312,4117.2,0.95,159173,198328,NA,NA,NA,NA,NA,NA,NA
"m[1,53] Assis SLS",59650.4893,59852.85,59972.747958781,9640.9,0.95,54707.1,63790.2,NA,NA,NA,NA,NA,NA,NA
"m[2,53] Assoc SLS",69381.3279066667,69253.2,68887.9966313403,8065.9,0.95,63134.6,76799,NA,NA,NA,NA,NA,NA,NA
"m[3,53] Full SLS",94839.98044,94194.75,89010.6917195822,4393.9,0.95,84387.9,108272,NA,NA,NA,NA,NA,NA,NA
"m[4,53] Endow SLS",122422.28262,122300.5,121288.102743057,4746.1,0.95,107709,137268,NA,NA,NA,NA,NA,NA,NA
"m[5,53] Disting SLS",149174.160866667,149403,150165.902523587,3332.3,0.95,129963,169525,NA,NA,NA,NA,NA,NA,NA
"m[1,54] Assis SOC",74903.6009666667,74920.3,74980.1291761348,13478.4,0.95,72983.9,76665.2,NA,NA,NA,NA,NA,NA,NA
"m[2,54] Assoc SOC",87745.8520266667,87735.95,87977.7739410512,4771.6,0.95,79766.8,96046.3,NA,NA,NA,NA,NA,NA,NA
"m[3,54] Full SOC",115494.648346667,115500,115784.186419413,4702.8,0.95,106531,124206,NA,NA,NA,NA,NA,NA,NA
"m[4,54] Endow SOC",143115.247866667,143141,142860.3003947,3243,0.95,129851,155459,NA,NA,NA,NA,NA,NA,NA
"m[5,54] Disting SOC",166254.453066667,164978,163166.542274658,4093.1,0.95,152985,183569,NA,NA,NA,NA,NA,NA,NA
"m[1,55] Assis SPAN",62354.75268,62282.1,62120.693569961,15000,0.95,58419.1,66584.4,NA,NA,NA,NA,NA,NA,NA
"m[2,55] Assoc SPAN",73151.5253266667,73028.25,72669.5257791891,14288.3,0.95,69328.5,77393.4,NA,NA,NA,NA,NA,NA,NA
"m[3,55] Full SPAN",103440.403806667,103315,102518.335869477,7729.6,0.95,94935.3,112821,NA,NA,NA,NA,NA,NA,NA
"m[4,55] Endow SPAN",127312.3345,127219.5,127263.748576609,5246.8,0.95,113020,142089,NA,NA,NA,NA,NA,NA,NA
"m[5,55] Disting SPAN",154134.532066667,154342,155938.299354392,3575,0.95,134573,172924,NA,NA,NA,NA,NA,NA,NA
"m[1,56] Assis SPEA",95992.3363466667,96009.7,96034.1167220273,15000,0.95,91314.9,100701,NA,NA,NA,NA,NA,NA,NA
"m[2,56] Assoc SPEA",104783.126313333,104693,104675.836253722,12187.2,0.95,97838.2,111653,NA,NA,NA,NA,NA,NA,NA
"m[3,56] Full SPEA",138033.290066667,138096,138201.894195761,9645,0.95,128457,147241,NA,NA,NA,NA,NA,NA,NA
"m[4,56] Endow SPEA",156297.626466667,156112,155514.357886568,8096,0.95,142480,169396,NA,NA,NA,NA,NA,NA,NA
"m[5,56] Disting SPEA",188632.446266667,188802,188118.651814622,4262.7,0.95,168838,207714,NA,NA,NA,NA,NA,NA,NA
"m[1,57] Assis SPHS",79482.9363466667,79379.95,79379.7105358077,14425.9,0.95,75160.8,84326.4,NA,NA,NA,NA,NA,NA,NA
"m[2,57] Assoc SPHS",94622.7342866667,94745.85,94482.5430965869,12012.5,0.95,87867,101606,NA,NA,NA,NA,NA,NA,NA
"m[3,57] Full SPHS",120979.39698,120849.5,120555.494378018,10183.1,0.95,111471,130754,NA,NA,NA,NA,NA,NA,NA
"m[4,57] Endow SPHS",146096.324466667,146073,147125.558020891,6443,0.95,131394,160544,NA,NA,NA,NA,NA,NA,NA
"m[5,57] Disting SPHS",174303.9384,174469,173056.819358729,4029.8,0.95,154034,193193,NA,NA,NA,NA,NA,NA,NA
"m[1,58] Assis STAT",83448.81326,83225.85,83054.0217673012,10239.1,0.95,76066.7,91285.1,NA,NA,NA,NA,NA,NA,NA
"m[2,58] Assoc STAT",94702.4767266667,93762.7,87777.9084950133,6168.4,0.95,82558.5,110470,NA,NA,NA,NA,NA,NA,NA
"m[3,58] Full STAT",125055.026013333,124877.5,124801.544993157,5473.4,0.95,109243,141818,NA,NA,NA,NA,NA,NA,NA
"m[4,58] Endow STAT",152301.488266667,151819,151195.034618544,4087.4,0.95,135260,171538,NA,NA,NA,NA,NA,NA,NA
"m[5,58] Disting STAT",178413.254666667,180261.5,183545.056928574,5219.5,0.95,158962,192666,NA,NA,NA,NA,NA,NA,NA
"m[1,59] Assis TELC",68737.3576,68654.15,68616.7666896631,15000,0.95,64056.8,73742.6,NA,NA,NA,NA,NA,NA,NA
"m[2,59] Assoc TELC",80484.39708,80169.05,79969.745088435,8374.3,0.95,70929.5,91620.4,NA,NA,NA,NA,NA,NA,NA
"m[3,59] Full TELC",111179.271786667,111259.5,111625.138043974,8909.7,0.95,100799,122496,NA,NA,NA,NA,NA,NA,NA
"m[4,59] Endow TELC",135050.3074,134921,135225.120792214,6479.2,0.95,120548,150338,NA,NA,NA,NA,NA,NA,NA
"m[5,59] Disting TELC",164230.6874,165693.5,172144.859864057,4576.8,0.95,144505,178057,NA,NA,NA,NA,NA,NA,NA
"m[1,60] Assis THTR",59211.2329466667,59279.05,59491.6185176911,10740.2,0.95,55871.1,62424.4,NA,NA,NA,NA,NA,NA,NA
"m[2,60] Assoc THTR",67279.5595066667,67223.55,67232.6006959795,12745.1,0.95,64031.4,70769,NA,NA,NA,NA,NA,NA,NA
"m[3,60] Full THTR",97519.88268,97459.4,97437.982809311,3189.8,0.95,83912.8,111787,NA,NA,NA,NA,NA,NA,NA
"m[4,60] Endow THTR",122448.771666667,122260,121738.399944163,3342.2,0.95,108228,138339,NA,NA,NA,NA,NA,NA,NA
"m[5,60] Disting THTR",149255.9846,149605.5,151202.699953813,3185.8,0.95,129134,167725,NA,NA,NA,NA,NA,NA,NA
"a1SD",48543.6520933333,43486.1,38591.9432545679,3811.7,0.95,20741.1,90221.4,NA,NA,NA,NA,NA,NA,NA
"a2SD",31431.263,31198.95,30586.4310151861,10311.4,0.95,25758.1,37369.1,NA,NA,NA,NA,NA,NA,NA
"a1a2SD",5397.75350133333,5348.54,5415.9024757094,573.6,0.95,3628.02,7214.87,NA,NA,NA,NA,NA,NA,NA
"ySigma[1,1] Assis ACTG",4427.8711724,4020.82,3228.94271793992,11089.7,0.95,1519.09,8283.06,NA,NA,NA,NA,NA,NA,NA
"ySigma[2,1] Assoc ACTG",8400.79530453333,6168.61,2548.60269572886,5575.2,0.95,452.105,23132.1,NA,NA,NA,NA,NA,NA,NA
"ySigma[3,1] Full ACTG",34660.415376,33241.25,32136.4048726163,8246.7,0.95,16091.3,55901.1,NA,NA,NA,NA,NA,NA,NA
"ySigma[4,1] Endow ACTG",16137.2875306667,14283,11595.8283820926,8021.6,0.95,4044.12,32560.5,NA,NA,NA,NA,NA,NA,NA
"ySigma[5,1] Disting ACTG",13494.8812095667,10290.35,3786.50060248292,14088.5,0.95,8.7294,36973.5,NA,NA,NA,NA,NA,NA,NA
"ySigma[1,2] Assis AFRO",13438.2804331667,10135.55,4084.68256256351,15000,0.95,8.7294,36834.7,NA,NA,NA,NA,NA,NA,NA
"ySigma[2,2] Assoc AFRO",11168.9109333333,9716.79,7364.03801662202,10316.4,0.95,2974.89,22875.7,NA,NA,NA,NA,NA,NA,NA
"ySigma[3,2] Full AFRO",13871.0790066667,12601.65,10389.8190361402,12054.7,0.95,4836.41,26115,NA,NA,NA,NA,NA,NA,NA
"ySigma[4,2] Endow AFRO",13571.0332187373,10303.45,3897.0400241717,14615.8,0.95,8.7294,36774.9,NA,NA,NA,NA,NA,NA,NA
"ySigma[5,2] Disting AFRO",13461.1844199733,10098.1,3889.89611674544,15000,0.95,8.7294,36691.2,NA,NA,NA,NA,NA,NA,NA
"ySigma[1,3] Assis AMST",5493.7740756,4337.725,3024.3273566154,7622.1,0.95,936.815,13250.5,NA,NA,NA,NA,NA,NA,NA
"ySigma[2,3] Assoc AMST",2149.0655012,1674.44,1194.91121751404,6043.3,0.95,448.98,5207.38,NA,NA,NA,NA,NA,NA,NA
